Date,Month,Year,Title,Content,Link
1,1,2015,CBI’s credibility impugned,"The discharge by a Mumbai special court of Bharatiya Janata Party president and former Gujarat Minister >Amit Shah in the Sohrabuddin Sheikh fake encounter case is a boost for the BJP and a setback to the Central Bureau of Investigation, which seems unable to live down its reputation as an agency that is ever eager to please its political bosses. With the judge of the Special CBI Court, M.B. Gosavi, ruling that there was substance in the defence argument that the case was foisted on Mr. Shah for political reasons, the CBI will have a tough time recovering its credibility as the country’s premier criminal investigation agency. That the judge decided to discharge Mr. Shah from the case, and saw no need for him to go on trial, says a lot about the nature of the evidence put together by the CBI. Not only was the agency’s mode of investigation faulted, but political motives were attributed to its actions. However, if the CBI framed Mr. Shah in the case for political reasons to please the previous Congress-led government at the Centre, then could it have made out a “weak case” against Mr. Shah to please the present BJP-led government? After all, Mr. Shah is seen as the second most powerful person in the country, and as a close friend of Prime Minister Narendra Modi. This indeed is the question raised by Rubabuddin Sheikh, brother of Sohrabuddin. Given the track record of the CBI in recent times, this is not a question to be dismissed casually. If political pressures did indeed force the CBI to frame Mr. Shah, then, quite plausibly, similar pressures could now have been at work to facilitate his discharge in the case.
Also read: >Timeline on Sohrabuddin Sheikh fake encounter case
The observations of Mr. Gosavi further underscore the importance of freeing the CBI from the influence of those in power. Although the CBI Director now enjoys a fixed tenure, and the appointment is on the basis of the recommendations of a high-level committee, the investigating agency is still subject to the pulls and pressures of the government at the Centre. At the end of a civil rights movement against corruption in high places, the Lokpal Act, 2013 was introduced with provisions to insulate the CBI from political interference. But in high-profile, politically sensitive cases such as the one involving Mr. Shah, the investigation can still be tailored to suit the requirements of the rich and the powerful if the higher courts do not take to strict and constant monitoring. Sohrabuddin’s relatives have decided to appeal against Mr. Shah’s discharge, and some of the evidence will again come under scrutiny. At this stage, if anything at all is certain, it is that the CBI’s handling of this case against Mr. Shah does not inspire confidence in the public mind.",https://www.thehindu.com/opinion/editorial/editorial-on-discharge-of-case-on-amit-shah-in-the-sohrabuddin-sheikh-fake-encounter-case/article6742587.ece
1,1,2015,Departing with a mixed legacy,"The timing of >Mahendra Singh Dhoni’s retirement from Test cricket is consistent with his earlier choices as a cricketer and a team leader. Despite his cult following and camera-friendly smile, Dhoni was always a private sort of person who kept major decisions under wraps until the last minute. In the event, the fact that he chose to call it a day in Tests when everybody is asking why rather than why not, is not at all surprising. But he might have better served the cause of Indian cricket had he completed the series — the fourth Test against Australia begins on January 6 in Sydney — before handing over the reins to Virat Kohli. Perhaps he wanted to leave quietly, without fanfare. Through much of India’s successful run, whether in Tests or limited overs cricket, the man who emerged from Indian cricket’s backwaters in Jharkhand has had no qualms about letting others take centre stage. This was never more obvious than when he allowed Sachin Tendulkar to hog the limelight after winning the World Cup at home in 2011. Dhoni, for the most part, has preferred to remain in the background. This is in stark contrast to his style of play on the field — something that is at once flamboyant and awe-inspiring when he is at his best. Some of the big shots with which he brings the spectators to their feet — including his patented ‘helicopter’ shot — are more readily associated with an extroverted personality.
Also read: >Mahendra Singh Dhoni: A timeline
Read: >All you need to know about Dhoni
For all his success in the longer form of the game, especially at home, Dhoni’s image was overwhelmingly shaped through his exploits in limited overs cricket. Yet, his 90 Tests, 4,876 runs, 256 catches and 38 stumpings prove that he could shine in the longer version too. His 224 against Australia at Chennai in 2013 altered the series. Earlier this year, when the rest of the batting, barring Murali Vijay, struggled in England, Dhoni scored 349 runs with four 50s. The numbers state that he was India’s most successful captain, but that record of 27 wins and 18 losses from 60 Tests hides a disturbing statistic — his men lost 15 away games, most of them in the last three years. His failure to rouse an outfit suffering the pangs of transition, his refusal to speak when the squad he led in the Indian Premier League, Chennai Super Kings, was mired in controversy, or even his questionable sense of humour — as evident in him talking about Virat Kohli stabbing Shikhar Dhawan — are all blips that are part of a complicated personality. India will miss him in Tests, but thankfully he is still available in an arena in which he excels — the pulse-pounding abridged contest under lights. His ultimate test will come in a few weeks’ time when India begins its defence of the World Cup in challenging conditions.",https://www.thehindu.com/opinion/editorial/editorial-on-mahendra-singh-dhonis-test-retirement/article6742588.ece
2,1,2015,Hasty changes in land law,"When a law is enacted after considerable debate and consultation, it will be wise to study the experience of its implementation for some time before it is amended, in order to address perceived difficulties. Any such amendment within the first year of its entry into force, especially one pushed through as an ordinance, will be inevitably perceived as hasty, even if on the positive side it is meant to eliminate delays in land acquisition. In this backdrop, the Right to Fair Compensation and Transparency in Land Acquisition, Rehabilitation and Resettlement (Amendment) Ordinance, 2014, is bound to face criticism that the changes constitute a significant dilution of a progressive law. >The Congress and the Left parties are likely to oppose the changes when the law comes to Parliament in the form of a bill to replace the ordinance. In substance, the ordinance makes a significant change by omitting in respect of a wide range of projects the requirements of a social impact assessment study, the informed consent of a large section of the families affected by the acquisition of land. These projects include those that are vital to national security and defence, rural infrastructure, affordable housing and housing for the poor, besides industrial corridors and infrastructure and social infrastructure projects. The vital element of making acquisition a consultative and participative process may thus be subject to bureaucratic discretion.
The principle of ‘eminent domain’, which justifies the compulsory acquisition of land by the state for a public purpose, normally ought to be accompanied by a duty to give fair compensation. However, the colonial Land Acquisition Act of 1894 had in effect reduced compensation to a mere token in relation to the market value, and for decades it was used to deprive many, mostly farmers, of their land for a pittance. Last year’s law radically altered this relationship between citizen and state and created a fair compensation right, as well as a new structure for rehabilitation and resettlement. It also cast a duty on the government to create specified amenities in every resettlement area. Thankfully, the ordinance does not dilute these provisions, but additionally extends them to a list of Acts that were previously exempted. However, this is not its own contribution, as the original Act itself said such a provision shall be enacted within a year. Prime Minister Narendra Modi has projected the amendments as those that strengthen protection for the affected families and also removes difficulties in implementation. Perhaps the regime’s intentions could have been better understood had the changes been introduced as a bill in Parliament and referred to a committee for appraisal.",https://www.thehindu.com/opinion/editorial/editorial-on-land-acquisition-act/article6745655.ece
2,1,2015,Uncertain outcome in Greece,"Greek Prime Minister Antonis Samaras, who recently lost his gamble of holding an >early presidential vote in order to shore up the terms of a fresh economic package from the European Union, forced a snap general election within two years of coming to power. The January 25 poll has brought centre-stage the main opposition party, the radical left-wing Syriza that takes an anti-austerity stance. Equally, the uncertainty over the Greek election outcome brought into sharp focus the capacity of European Union leaders to influence national governments to implement unpopular economic reforms. The developments in December, involving three rounds of voting by the Greek Parliament which eventually failed to elect a President, are reminiscent of the high political drama of 2011. On that occasion, George Papandreou had announced that the issue of approval of the Eurozone debt deal for Greece would be decided in a popular referendum, sending shock waves across European capitals and causing a splutter in the financial markets. Amid the groundswell of public anger against crippling cuts in government spending and reductions in wages and pensions, a plebiscite would have potentially risked a Greek exit from the Eurozone.
Syriza’s support has seen a steady surge over the past decade, culminating in its emergence as the second largest party in the outgoing Parliament. Under the charismatic leadership of Alexis Tsipras, it won the May 2014 European Parliament elections handsomely, relegating the country’s ruling New Democracy to the second position. Since then, Syriza has led in the opinion polls. The party rapidly rose to prominence since the debt crisis in Greece unravelled, by portraying the terms of the bailout with European and international institutions as a harsh and arbitrary imposition. In more recent months, it has spoken of softening the terms of the bailout and of having the country’s debt written off by half. Syriza’s sharp rhetoric in recent weeks seems to have been muted, perhaps from a recognition of Athens’s European obligations under the existing arrangements. The party may or may not capture power in the elections. But even if it comes anywhere close, it can be expected to exert considerable influence on the manner Athens negotiates with Brussels the terms of its economic reforms. Syriza’s performance would also be watched closely in countries where the appeal of anti-austerity, and even anti-EU parties, has been on the rise and where elections are due this year. Gradually, a scenario may be evolving where domestic forces exert greater influence on the trajectories of European integration. This may lay bare the limits of the post-War vision in a globalised world.",https://www.thehindu.com/opinion/editorial/editorial-on-greece-general-elections/article6745654.ece
3,1,2015,Birth of a new institution,"In line with the Government of India’s approach of less government and a move away from centralised planning, the NITI Aayog with a new structure and focus on policy will >replace the 64-year old Planning Commission that was seen as a vestige of the socialist era. The new body, conceived more in the nature of a think-tank that will provide strategic and technical advice, will be helmed by the Prime Minister with a Governing Council of Chief Ministers and Lt. Governors, similar to the National Development Council that set the objectives for the Planning Commission. The NITI Aayog seeks substitute centralised planning with a ‘bottom-up’ approach where the body will support formulation of plans at the village level and aggregate them at higher levels of government. In short, the new body is envisaged to follow the norm of cooperative federalism, giving room to States to tailor schemes to suit their unique needs rather than be dictated to by the Centre. This is meant to be a recognition of the country’s diversity. The needs of a State such as Kerala with its highly developed social indicators may not be the same as that of, say, Jharkhand, which scores relatively low on this count. If indeed the body does function as has been envisaged now — and the jury will be out on that — States will, for the first time, have a say in setting their own development priorities.
Also Read: >An ode to the Planning Commission
One significant change of note is that one of the functions of the body will be to address the needs of national security in economic strategy. Nowhere is this more relevant than in the area of energy security where India, unlike China, has failed to evolve a coherent policy over the years. Similarly, networking with other national and international think-tanks and with experts and practitioners, as has been envisaged, will add heft to the advice that the NITI Aayog will provide. To deflect criticism that this will be a free-market institution that ignores the deprived, the government has taken care to make the point that the body will pay special attention to the sections of society that may not benefit enough from economic progress. How this operates in practice will bear close watching. Interestingly, though it will not be formulating Central plans any more, the NITI Aayog will be vested with the responsibility of monitoring and evaluating the implementation of programmes. Thus, while the advisory and monitoring functions of the erstwhile Planning Commission have been retained in the new body, the executive function of framing Plans and allocating funds for Plan-assisted schemes has been taken away. But who will now be responsible for the critical function of allocating Plan funds? Hopefully, there will be greater clarity on this aspect in the days ahead.",https://www.thehindu.com/opinion/editorial/editorial-on-niti-aayog-formation/article6749228.ece
3,1,2015,A step in the right direction,"Yet another bold initiative was taken on the last day of 2014 when the Union government made public the draft National Health Policy 2015. The policy is a first step in achieving universal health coverage by advocating >health as a fundamental right, whose “denial will be justiciable”. While it makes a strong case for moving towards universal access to affordable health-care services, there are innumerable challenges to be overcome before the objectives become a reality. The current government spending on health care is a dismal 1.04 per cent of gross domestic product (GDP), one of the lowest in the world; this translates to Rs.957 per capita in absolute terms. The draft policy has addressed this critical issue by championing an increase in government spending to 2.5 per cent of GDP (Rs.3,800 per capita) in the next five years. But even this increase in allocation falls short of the requirement to set right the dysfunctional health-care services in the country. Citing the health-care system’s low absorption capacity and inefficient utilisation of funding as an alibi for not raising the spending to 3 per cent of GDP is nothing but a specious argument. Insufficient funding over the years combined with other faulty practices have led to a dysfunctional health-care system in the country. Undivided focus is an imperative to strengthen all the elements of health-care delivery. The failure of the public health-care system to provide affordable services has been the main reason that has led to increased out-of-pocket expenditure on health care. As a result, nearly 63 million people are driven into poverty every year. The Ebola crisis in Liberia, Guinea and Sierra Leone, which underlined the repercussions of a weak public health-care system, should serve as a grim reminder of this.
>Draft on National Health Policy 2015
The national programmes provide universal coverage only with respect to certain interventions such as maternal ailments, that account for less than 10 per cent of all mortalities. Over 75 per cent of the communicable diseases are outside their purview and only a limited number of non-communicable diseases are covered. It is, therefore, crucial for the Union government to undertake proactive measures to upgrade the health-care services of poorly performing States such as Bihar and Uttar Pradesh. As it stands, health will be recognised as a fundamental right through a National Health Rights Act only when three or more States “request” it. Since health is a State subject, adoption by the respective States will be voluntary. Though a different approach has been taken to improve adoption and implementation by States, the very objective of universal health coverage that hinges on portability will be defeated in the absence of uniform adoption across India.
Also Read: >Health care for all",https://www.thehindu.com/opinion/editorial/editorial-on-national-health-policy-2015/article6749230.ece
5,1,2015,A case to share more information,"The dramatic photograph of a fishing boat ablaze on water and the assertions by the Indian Ministry of Defence (MoD) that it was an “explosives-laden” vessel from Pakistan that blew itself up on being intercepted, has provided some comfort that a force guarding the country’s coastline was able to avert a 26/11-type horror on New Year’s-eve with a timely chase across the Arabian Sea. Defence Minister Manohar Parrikar has commended the Coast Guard for a job well done. Pakistan has denied the boat had anything to do with it. Particularly as vital questions of foreign relations are involved, the MoD would do well to shed more light on what happened off the Gujarat coast that night. So far, the version provided has left several questions unanswered. Given the Coast Guard’s suspicion that this was a boat carrying terrorists from Karachi, why was the Navy not involved in the incident, at least in a supporting role? If there were intercepts of communication between the boat and handlers in Pakistan, surely the Coast Guard needed to mobilise more help. It should have at least called out more of its own vessels. The blaze is said to have started when the crew went below deck and set the boat on fire after the Coast Guard caught up with it. There was also an explosion, according to a statement put out by the MoD. An expert examination of the photograph provided would confirm whether there was a blast. A statement that the four-member crew aroused suspicion because they were not dressed like fishermen is also worrying, indicating as it does the Coast Guard’s belief that clothes are a good indication of a person’s occupation and intentions.
On top of it all is the opaqueness on locations, 365 km west-southwest off Porbandar providing only a general direction and an assurance that it was within the Coast Guard’s 200 nautical mile jurisdiction. A full-fledged investigation into the incident would not be out of place. With India-Pakistan relations not yet out of the shadow of the 26/11 attack, an allegation that a boat loaded with explosives that set off from near Karachi tried to get close to the Indian coast is a serious matter. Those who make the allegation must be able to provide better grounds for their suspicion than the single input that a boat was set to make an “illicit transaction”. After all, smugglers abound in those waters. In the last six years, New Delhi has built up much international support in the diplomatic battle against India-directed terrorism emanating from Pakistan. A wrong call can erode that support, just as the right one can strengthen its hands. This is why it is very important to provide adequate information to support the account of the incident.",https://www.thehindu.com/opinion/editorial/editorial-a-case-to-share-more-information/article6754049.ece
5,1,2015,Arbitrary use of power,"The Union government recently blocked 32 websites, including globally popular ones such as Vimeo, GitHub, Dailymotion and archive.org that support data-archiving, video-sharing and software development, evoking serious questions and criticism. The action was sought to be justified on the grounds that these websites were being used for “Jihadi Propaganda” by “Anti-National groups” encouraging Indian youth to join organisations such as Islamic State (IS). Such a justification may in principle seem reasonable, yet it does not instil confidence in citizens given the weak track record of Internet regulation and a deficient legal framework coupled with the arbitrary use of state power. Following the arrest of Bengaluru-based Mehdi Biswas, suspected of operating a pro-IS Twitter account, the government officially banned IS in India only last month. A 2012 United Nations report titled “The Use of the Internet for Terrorist Purposes”, warns of terror groups using the Internet for their “propaganda”. For instance, al-Qaeda uses the Internet to announce its latest attacks and strategic alliances, promote its interests and so on. Robert Hannigan, from the Government Communications Headquarters in the U.K., spoke in an interview about how IS uses popular hashtags to boost its viewership, sending “thousands of tweets a day without triggering spam controls”. Undoubtedly, terrorists use technology with some level of sophistication.
The scepticism is with regard to implementation rather than the principle behind the action. First, the government invoked Section 69A of the Information Technology Act, 2000 and relevant “Blocking Rules” were framed under it to take down the sites. These provisions, the constitutionality of which is under challenge in the Supreme Court, are riddled with vagueness and are open to arbitrary use. Second, reasonable restriction on free speech under Article 19(2) of the Constitution is to be interpreted to include only cases where there is a direct relation between the offending speech and public disorder or national security. But in blocking URLs, the government speaks of not just content that poses a direct threat to public order and security, but also the spread of “propaganda” — which is a perilously vague term with the potential to impinge on fundamental rights. Third, blocking websites is rarely an effective method to curb terror activities. Competent users can circumvent with ease such restrictions through Proxies and Virtual Private Networks. Instead of blocking websites outright, a more coordinated public-private dialogue should be the way ahead. Giving national security precedence over all else, including fundamental rights, is an often-exploited narrative that needs to be closely scrutinised, without reducing this scrutiny to a “with us-or-against us” logic.",https://www.thehindu.com/opinion/editorial/editorial-arbitrary-use-of-power/article6754050.ece
6,1,2015,Mythology and science,"The 102nd Indian Science Congress being held in Mumbai will be remembered for a very long time to come, but for all the wrong reasons. For the first time, the science congress had a session on “Ancient Sciences through Sanskrit”. If the Indian Science Congress had long lost its eminence as a forum where results of serious science being done in the country are presented and discussed in most sessions, the inclusion of Ancient Sciences through Sanskrit has only lowered its standing further. Even as a public session, there is no real reason whatsoever for it to have been included in the proceedings. At best, a session could have been devoted to the history of Indian science which has real and substantial achievements to celebrate, with serious scholars working on the subject presenting papers. With Prime Minister Narendra Modi setting the tone for this antiquity frenzy with his implausible claims that cosmetic surgery was practised thousands of years ago and in-vitro fertilisation-like procedure was resorted to long back, and different political leaders following it up with several other incredulous claims well before the start of the national event, the reason for the inclusion of the session becomes supremely clear. Instead of fostering scientific temper, the congress has provided a forum to seed the minds of young people with pseudoscience. Some of the papers presented were about Indians’ “knowledge of making aeroplanes” that could undertake interplanetary travel, between 7000 and 6000 BC, and “radars” that worked on the principle of detecting energy given out by animate and inanimate objects and finding out if a body was dead or alive.
Science is grounded on the principle of reproducibility of results. The claims of advanced science and technology in the ancient world are based on some references in ancient scripts that may be wholly imaginary. Flying, for instance, has caught humankind’s imagination across cultures right from ancient times. Such references should be taken for the myths they are, not as scientific facts. Scientists have been able to create animal chimeras that have cells/organs of different species, much as what Greek mythology describes. Should the Greeks then be taken as pioneers in the science of chimera production? Thanks to our understanding of genetics and the ability to fertilise eggs outside the body, producing designer babies is no longer in the realm of science fiction. Should the creators of the science fiction then be credited with devising the procedures? Compare this with how Sir Arthur C. Clarke documented his idea of communications satellites in a concept paper published in 1945. Dozens of geosynchronous satellites launched each year do precisely what Sir Arthur had visualised there.",https://www.thehindu.com/opinion/editorial/editorial-mythology-and-science/article6757521.ece
6,1,2015,Moderation warranted,"The recent narrow defeat of a resolution in the United Nations Security Council on Palestinian statehood should be read in the context of resistance from the United States and Israel to the territory’s bid for UN membership. In 2012, Washington and Tel Aviv opposed a landmark UN General Assembly vote by 138 countries to upgrade Palestine’s status from Observer to Non-Member Observer State in the world body. Introduced by Jordan, the resolution last week called for the withdrawal of Israeli forces from the West Bank by 2017 and the creation of a capital in East Jerusalem — territories captured by Israel besides Gaza Strip in the so-called Six-Day War in 1967. Against the backdrop of the failure of peace talks, the Palestinian Authority (PA) under President Mahmoud Abbas has pinned its hopes for any meaningful progress on taking recourse to international legal instruments. Accordingly, Mr. Abbas has moved swiftly to accede to the Rome Statute of the International Criminal Court (ICC) once the UNSC resolution was defeated in December. Earlier in the month, Palestine was invited as an observer at the annual meeting of states that have joined the ICC.
The Palestinians expect the step would eventually lead to the trial of certain Israeli leaders for war crimes in The Hague court. But a determination has yet to be made on whether its jurisdiction would commence from 2012, when the status of Palestine was revised at the UN, or after its accession to the Rome treaty is completed. It is also uncertain whether the nature of the violence during the conflict would qualify for prosecution by the ICC. What is clear, however, is that the activities of both the PA and the Islamic militant group Hamas would also come under scrutiny should the court deem it fit to investigate Israel. But paradoxically, the U.S. and Israel continue to regard any attempt by the PA to gain international recognition as confrontational, insisting that direct negotiations are the only possible avenue to find a lasting solution. Both have threatened retaliation in the form of severe economic sanctions against Palestine and travel restrictions on their leaders. Such a stance is unhelpful considering the PA is the main moderate voice wedded to a two-state solution, unlike Hamas that refuses to recognise the state of Israel. But international opinion in support of Palestinian self-determination is growing, as is evident from the overwhelming backing accorded to the European Parliament resolution. The Palestinian bid to join the ICC is expected to strengthen Israel’s hardliners in the elections in March. The larger interests of peace in the Middle East warrant moderation.",https://www.thehindu.com/opinion/editorial/editorial-moderation-warranted/article6757522.ece
